date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:06	348/348	---MCZ	200	added ('OK')	text/plain	date:Thu,%2014%20Apr%202022%2010:38:04%20GMT	https://suramericanfood.wordpress.com/robots.txt		(from )
12:38:06	71211/71211	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2010:38:04%20GMT	https://suramericanfood.wordpress.com/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/index.html	(from )
12:38:07	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2014%20Apr%202022%2010:38:05%20GMT	https://suramericanfood.wordpress.com/xmlrpc.php	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/xmlrpc.php	(from https://suramericanfood.wordpress.com/)
12:38:07	5605/5605	---MCZ	200	added ('OK')	text/css	etag:W/%225bfee31f-1f6c%22	https://s2.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h&cssminify=yes	C:/Mis%20lugares%20Web/prueba2/s2.wp.com/wp-content/mu-plugins/global-print/global-printa1cf.css	(from https://suramericanfood.wordpress.com/)
12:38:07	900/900	---MCZ	200	added ('OK')	text/xml	date:Thu,%2014%20Apr%202022%2010:38:05%20GMT	https://suramericanfood.wordpress.com/xmlrpc.php?rsd	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/xmlrpc0db0.php	(from https://suramericanfood.wordpress.com/)
12:38:07	10046/10046	---M--	200	added ('OK')	image/png	etag:%225bffef52-273e%22	https://s2.wp.com/i/webclip.png	C:/Mis%20lugares%20Web/prueba2/s2.wp.com/i/webclip.png	(from https://suramericanfood.wordpress.com/)
12:38:07	194905/194905	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2014%20Apr%202022%2010:38:05%20GMT	https://suramericanfood.wordpress.com/feed/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/feed/index.html	(from https://suramericanfood.wordpress.com/)
12:38:07	909/909	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2202d7ff0a20160493fd0bb764f40915b7%22	https://suramericanfood.wordpress.com/comments/feed/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/comments/feed/index.html	(from https://suramericanfood.wordpress.com/)
12:38:08	1525/1525	---MCZ	200	added ('OK')	application/xml	date:Thu,%2014%20Apr%202022%2010:38:06%20GMT	https://suramericanfood.wordpress.com/osd.xml	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/osd.xml	(from https://suramericanfood.wordpress.com/)
12:38:08	9189/9189	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Feb%202021%2019:07:49%20GMT	https://suramericanfood.files.wordpress.com/2021/02/logo1.png?w=178	C:/Mis%20lugares%20Web/prueba2/suramericanfood.files.wordpress.com/2021/02/logo1fabe.png	(from https://suramericanfood.wordpress.com/)
12:38:08	520778/520778	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Aug%202019%2008:26:23%20GMT	https://rockfielddemo.files.wordpress.com/2019/08/appetizers-chef-cuisine-1267320-1-1.jpg	C:/Mis%20lugares%20Web/prueba2/rockfielddemo.files.wordpress.com/2019/08/appetizers-chef-cuisine-1267320-1-1.jpg	(from https://suramericanfood.wordpress.com/)
12:38:09	87384/87384	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2010:38:07%20GMT	https://suramericanfood.wordpress.com/comida-argentina/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/comida-argentina/index.html	(from https://suramericanfood.wordpress.com/)
12:38:12	86801/86801	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2010:38:07%20GMT	https://suramericanfood.wordpress.com/comida-brasilena/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/comida-brasilena/index.html	(from https://suramericanfood.wordpress.com/)
12:38:12	39870/39870	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Feb%202021%2014:47:04%20GMT	https://suramericanfood.files.wordpress.com/2021/02/rfb-2312-2-tacos-1.jpg?w=620	C:/Mis%20lugares%20Web/prueba2/suramericanfood.files.wordpress.com/2021/02/rfb-2312-2-tacos-11c26.jpg	(from https://suramericanfood.wordpress.com/)
12:38:12	86131/86131	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2010:38:07%20GMT	https://suramericanfood.wordpress.com/comida-ecuatoriana/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/comida-ecuatoriana/index.html	(from https://suramericanfood.wordpress.com/)
12:38:12	82713/82713	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2010:38:07%20GMT	https://suramericanfood.wordpress.com/comida-chilena/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/comida-chilena/index.html	(from https://suramericanfood.wordpress.com/)
12:38:12	87031/87031	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2010:38:10%20GMT	https://suramericanfood.wordpress.com/comida-mexicana/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/comida-mexicana/index.html	(from https://suramericanfood.wordpress.com/)
12:38:13	116596/116596	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Feb%202021%2014:37:27%20GMT	https://suramericanfood.files.wordpress.com/2021/02/tender-abacaxi-farofa.jpg?w=620	C:/Mis%20lugares%20Web/prueba2/suramericanfood.files.wordpress.com/2021/02/tender-abacaxi-farofa1c26.jpg	(from https://suramericanfood.wordpress.com/)
12:38:13	85313/85313	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2010:38:11%20GMT	https://suramericanfood.wordpress.com/comida-peruana/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/comida-peruana/index.html	(from https://suramericanfood.wordpress.com/)
12:38:13	41643/41643	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Feb%202021%2019:40:31%20GMT	https://suramericanfood.files.wordpress.com/2021/02/tipos-de-arepa-2.jpg?w=620	C:/Mis%20lugares%20Web/prueba2/suramericanfood.files.wordpress.com/2021/02/tipos-de-arepa-21c26.jpg	(from https://suramericanfood.wordpress.com/)
12:38:13	86873/86873	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2010:38:11%20GMT	https://suramericanfood.wordpress.com/comida-venezolana/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/comida-venezolana/index.html	(from https://suramericanfood.wordpress.com/)
12:38:14	61248/61248	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2010:38:11%20GMT	https://suramericanfood.wordpress.com/mapa-de-google/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/mapa-de-google/index.html	(from https://suramericanfood.wordpress.com/)
12:38:14	128313/128313	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Feb%202021%2011:13:55%20GMT	https://suramericanfood.files.wordpress.com/2021/02/asado-argentino-parrilla.jpg?w=620	C:/Mis%20lugares%20Web/prueba2/suramericanfood.files.wordpress.com/2021/02/asado-argentino-parrilla1c26.jpg	(from https://suramericanfood.wordpress.com/)
12:38:14	82439/82439	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2010:38:12%20GMT	https://suramericanfood.wordpress.com/tag/acompanantes/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/tag/acompanantes/index.html	(from https://suramericanfood.wordpress.com/)
12:38:14	99195/99195	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Feb%202021%2009:10:32%20GMT	https://suramericanfood.files.wordpress.com/2021/02/choripan.jpeg?w=620	C:/Mis%20lugares%20Web/prueba2/suramericanfood.files.wordpress.com/2021/02/choripan1c26.jpg	(from https://suramericanfood.wordpress.com/)
12:38:14	80344/80344	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Apr%202022%2010:38:12%20GMT	https://suramericanfood.wordpress.com/tag/asados/	C:/Mis%20lugares%20Web/prueba2/suramericanfood.wordpress.com/tag/asados/index.html	(from https://suramericanfood.wordpress.com/)
